occurrenceID	scientificName	decimalLatitude	decimalLongitude	accuracy	year	establishmentMeans	occurrenceOrigin	bibliographicCitation	associatedReferences	sourceCitation	associatedSequences	claimExtinction	occurrenceRemarks	confidentialityLevel	contributor
WA1418	Pontastacus leptodactylus	46.63824	21.55498	high	2023	indigenous	native	10.1016/j.gecco.2024.e02847		Ion, M.C., Ács, A.R., Laza, A.V., Lorincz, I., Livadariu, D., Lamoly, A.M., Goia, B., Togor, A., Iorgu, E.I., Ștefan, A., Popa, O.P., Pârvulescu, L. (2024). Conservation status of the idle crayfish Austropotamobius bihariensis Pârvulescu, 2019. Global Ecology and Conservation 50, e02847.			paper dataset: 001	0	Lucian Pârvulescu
WA1419	Pontastacus leptodactylus	46.51627	21.51749	high	2023	indigenous	native	10.1016/j.gecco.2024.e02847		Ion, M.C., Ács, A.R., Laza, A.V., Lorincz, I., Livadariu, D., Lamoly, A.M., Goia, B., Togor, A., Iorgu, E.I., Ștefan, A., Popa, O.P., Pârvulescu, L. (2024). Conservation status of the idle crayfish Austropotamobius bihariensis Pârvulescu, 2019. Global Ecology and Conservation 50, e02847.			paper dataset: 001	0	Lucian Pârvulescu
WA1420	Pontastacus leptodactylus	46.43006	21.96289	high	2023	indigenous	native	10.1016/j.gecco.2024.e02847		Ion, M.C., Ács, A.R., Laza, A.V., Lorincz, I., Livadariu, D., Lamoly, A.M., Goia, B., Togor, A., Iorgu, E.I., Ștefan, A., Popa, O.P., Pârvulescu, L. (2024). Conservation status of the idle crayfish Austropotamobius bihariensis Pârvulescu, 2019. Global Ecology and Conservation 50, e02847.			paper dataset: 001	0	Lucian Pârvulescu
WC0786	Pontastacus leptodactylus	50.76897	4.34719	low	1985	non-indigenous	alien	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0787	Pontastacus leptodactylus	50.84557	4.66583	low	1985	non-indigenous	alien	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0788	Pontastacus leptodactylus	50.76582	4.43237	low	1985	non-indigenous	alien	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0789	Pontastacus leptodactylus	50.77966	4.89987	low	1985	non-indigenous	alien	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0790	Pontastacus leptodactylus	48.0000000000897	13.1000003809586	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0791	Pontastacus leptodactylus	47.9666671749453	13.0833330149225	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0792	Pontastacus leptodactylus	47.9700012209805	13.1000003809586	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0793	Pontastacus leptodactylus	47.2666664119295	11.4499998088117	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0794	Pontastacus leptodactylus	48.2999992371292	14.2899999619485	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0795	Pontastacus leptodactylus	46.6166648858198	14.2166662219014	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0796	Pontastacus leptodactylus	48.2166671747797	16.4500007631247	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0797	Pontastacus leptodactylus	48.3166656489892	15.2333335879979	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0798	Pontastacus leptodactylus	48.2333335878842	16.2666664121088	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0799	Pontastacus leptodactylus	47.7000007627481	16.0000000000685	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0800	Pontastacus leptodactylus	47.6599998471987	15.9499998090836	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0801	Pontastacus leptodactylus	46.6166648858198	14.2499999999627	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0802	Pontastacus leptodactylus	47.7833328247562	16.0833339691146	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0803	Pontastacus leptodactylus	48.3333320622184	16.5166664121239	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0804	Pontastacus leptodactylus	46.8011093142942	13.5180559161427	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0805	Pontastacus leptodactylus	47.6500015260629	15.9499998090836	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0806	Pontastacus leptodactylus	47.7666664122337	16.1000003811399	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0807	Pontastacus leptodactylus	47.9666671749453	16.2666664121088	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0808	Pontastacus leptodactylus	47.8666648861504	16.3666667940785	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0809	Pontastacus leptodactylus	48.1500015262862	16.5833339691448	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0810	Pontastacus leptodactylus	48.2333335878842	16.2666664121088	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0811	Pontastacus leptodactylus	47.7999992369756	16.1833324430627	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0812	Pontastacus leptodactylus	48.2333335878842	16.4333324430778	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0813	Pontastacus leptodactylus	48.2166671747797	16.2666664121088	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0814	Pontastacus leptodactylus	48.2333335878842	16.2666664121088	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0815	Pontastacus leptodactylus	47.7833328247562	16.0000000000685	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0816	Pontastacus leptodactylus	47.7799987788431	16.0300006870659	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0817	Pontastacus leptodactylus	47.8166656488816	16.3166675571045	low	1999	indigenous	native		https://www.astacology.org/article.asp?uid=Guest&a=616&t=&type=1	Pöckl, M. (1999). Distribution of crayfish species in Austria with special reference to introduced species. Freshwater Crayfish, 12, 733-750.				0	Mihaela C. Ion
WC0818	Pontastacus leptodactylus	51.22618	3.2148	high	1985	non-indigenous	introduced	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0819	Pontastacus leptodactylus	50.76813	4.33276	high	2009	non-indigenous	introduced	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0820	Pontastacus leptodactylus	50.7996	4.603	high	2009	non-indigenous	introduced	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0821	Pontastacus leptodactylus	51.25386	3.28216	high	2009	non-indigenous	introduced	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0822	Pontastacus leptodactylus	51.2908	3.3352	high	2009	non-indigenous	introduced	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0823	Pontastacus leptodactylus	50.86223	5.01501	high	2011	non-indigenous	introduced	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0824	Pontastacus leptodactylus	50.86222	5.01502	high	2011	non-indigenous	introduced	10.3391/ai.2016.11.2.03		Boets, P., Brosens, D., Lock, K., Adriaens, T., Aelterman, B., Mertens, J., & Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions, 11(2), 131-144.				0	Mihaela C. Ion
WC0825	Pontastacus leptodactylus	35.9300910002352	14.4799339999981	high	2016	non-indigenous	introduced	10.1093/jcbiol/ruy076		Deidun, A., Sciberras, A., Formosa, J., Zava, B., Insacco, G., Corsini-Foka, M., & Crandall, K. A. (2018). Invasion by non-indigenous freshwater decapods of Malta and Sicily, central Mediterranean Sea. Journal of Crustacean Biology, 38(6), 748-753.			Alien	0	Mihaela C. Ion
WC0826	Pontastacus leptodactylus	45.3197749999004	15.5176249998116	high	2018	indigenous	native	10.3391/bir.2020.9.4.13		Dragičević, P., Faller, M., Kutleša, P., & Hudina, S. (2020). Update on the signal crayfish, Pacifastacus leniusculus (Dana, 1852) range expansion in Croatia: a 10-year report. BioInvasions Record, 9(4).				0	Mihaela C. Ion
WC0827	Pontastacus leptodactylus	45.4452230002287	15.5578000003271	high	2018	indigenous	native	10.3391/bir.2020.9.4.13		Dragičević, P., Faller, M., Kutleša, P., & Hudina, S. (2020). Update on the signal crayfish, Pacifastacus leniusculus (Dana, 1852) range expansion in Croatia: a 10-year report. BioInvasions Record, 9(4).				0	Mihaela C. Ion
WC0828	Pontastacus leptodactylus	45.4517359997433	15.5667280002031	high	2018	indigenous	native	10.3391/bir.2020.9.4.13		Dragičević, P., Faller, M., Kutleša, P., & Hudina, S. (2020). Update on the signal crayfish, Pacifastacus leniusculus (Dana, 1852) range expansion in Croatia: a 10-year report. BioInvasions Record, 9(4).				0	Mihaela C. Ion
WC0829	Pontastacus leptodactylus	45.4653739998455	15.5662720000935	high	2018	indigenous	native	10.3391/bir.2020.9.4.13		Dragičević, P., Faller, M., Kutleša, P., & Hudina, S. (2020). Update on the signal crayfish, Pacifastacus leniusculus (Dana, 1852) range expansion in Croatia: a 10-year report. BioInvasions Record, 9(4).				0	Mihaela C. Ion
WC0830	Pontastacus leptodactylus	45.4682470001092	15.5737949998308	high	2018	indigenous	native	10.3391/bir.2020.9.4.13		Dragičević, P., Faller, M., Kutleša, P., & Hudina, S. (2020). Update on the signal crayfish, Pacifastacus leniusculus (Dana, 1852) range expansion in Croatia: a 10-year report. BioInvasions Record, 9(4).				0	Mihaela C. Ion
WC0831	Pontastacus leptodactylus	45.343763369664	15.4910933513199	high	2012	indigenous	native	10.3391/ai.2017.12.1.07		Hudina, S., Kutleša, P., Trgovčić, K., & Duplić, A. (2017). Dynamics of range expansion of the signal crayfish (Pacifastacus leniusculus) in a recently invaded region in Croatia. Aquatic Invasions, 12(1).				0	Mihaela C. Ion
WC0832	Pontastacus leptodactylus	45.3583769538645	15.5017560195691	high	2012	indigenous	native	10.3391/ai.2017.12.1.07		Hudina, S., Kutleša, P., Trgovčić, K., & Duplić, A. (2017). Dynamics of range expansion of the signal crayfish (Pacifastacus leniusculus) in a recently invaded region in Croatia. Aquatic Invasions, 12(1).				0	Mihaela C. Ion
WC0833	Pontastacus leptodactylus	45.3705552683849	15.5205002204735	high	2012	indigenous	native	10.3391/ai.2017.12.1.07		Hudina, S., Kutleša, P., Trgovčić, K., & Duplić, A. (2017). Dynamics of range expansion of the signal crayfish (Pacifastacus leniusculus) in a recently invaded region in Croatia. Aquatic Invasions, 12(1).				0	Mihaela C. Ion
WC0834	Pontastacus leptodactylus	45.4104956725233	15.6110508673384	high	2012	indigenous	native	10.3391/ai.2017.12.1.07		Hudina, S., Kutleša, P., Trgovčić, K., & Duplić, A. (2017). Dynamics of range expansion of the signal crayfish (Pacifastacus leniusculus) in a recently invaded region in Croatia. Aquatic Invasions, 12(1).				0	Mihaela C. Ion
WC0835	Pontastacus leptodactylus	45.4284138439959	15.5637137724375	high	2012	indigenous	native	10.3391/ai.2017.12.1.07		Hudina, S., Kutleša, P., Trgovčić, K., & Duplić, A. (2017). Dynamics of range expansion of the signal crayfish (Pacifastacus leniusculus) in a recently invaded region in Croatia. Aquatic Invasions, 12(1).				0	Mihaela C. Ion
WC0836	Pontastacus leptodactylus	45.3334773948966	15.5119453771732	high	2015	indigenous	native	10.3391/ai.2017.12.1.07		Hudina, S., Kutleša, P., Trgovčić, K., & Duplić, A. (2017). Dynamics of range expansion of the signal crayfish (Pacifastacus leniusculus) in a recently invaded region in Croatia. Aquatic Invasions, 12(1).				0	Mihaela C. Ion
WC0837	Pontastacus leptodactylus	45.4451190902225	15.5052213390496	high	2015	indigenous	native	10.3391/ai.2017.12.1.07		Hudina, S., Kutleša, P., Trgovčić, K., & Duplić, A. (2017). Dynamics of range expansion of the signal crayfish (Pacifastacus leniusculus) in a recently invaded region in Croatia. Aquatic Invasions, 12(1).				0	Mihaela C. Ion
WC0838	Pontastacus leptodactylus	45.4890755500779	15.5637567523323	high	2015	indigenous	native	10.3391/ai.2017.12.1.07		Hudina, S., Kutleša, P., Trgovčić, K., & Duplić, A. (2017). Dynamics of range expansion of the signal crayfish (Pacifastacus leniusculus) in a recently invaded region in Croatia. Aquatic Invasions, 12(1).				0	Mihaela C. Ion
WC0839	Pontastacus leptodactylus	45.4801937021103	15.6669638404902	high	2015	indigenous	native	10.3391/ai.2017.12.1.07		Hudina, S., Kutleša, P., Trgovčić, K., & Duplić, A. (2017). Dynamics of range expansion of the signal crayfish (Pacifastacus leniusculus) in a recently invaded region in Croatia. Aquatic Invasions, 12(1).				0	Mihaela C. Ion
WC0840	Pontastacus leptodactylus	61.0191670001365	27.9544440000981	high	2016	non-indigenous	introduced	10.1051/kmae/2020022		Jussila, J., Maguire, I., Kokko, H., Tiitinen, V., & Makkonen, J. (2020). Narrow-clawed crayfish in Finland: Aphanomyces astaci resistance and genetic relationship to other selected European and Asian populations. Knowledge & Management of Aquatic Ecosystems, (421), 30.				0	Mihaela C. Ion
WC0841	Pontastacus leptodactylus	40.7170000000807	29.8669999997961	high	2011	indigenous	native	10.1051/kmae/2018001		Kokko, H., Harlioglu, M. M., Aydin, H., Makkonen, J., Gökmen, G., Aksu, Ö., & Jussila, J. (2018). Observations of crayfish plague infections in commercially important narrow-clawed crayfish populations in Turkey. Knowledge & Management of Aquatic Ecosystems, (419), 10.				0	Mihaela C. Ion
WC0842	Pontastacus leptodactylus	41.0499999999777	43.233000000309	high	2011	indigenous	native	10.1051/kmae/2018001		Kokko, H., Harlioglu, M. M., Aydin, H., Makkonen, J., Gökmen, G., Aksu, Ö., & Jussila, J. (2018). Observations of crayfish plague infections in commercially important narrow-clawed crayfish populations in Turkey. Knowledge & Management of Aquatic Ecosystems, (419), 10.				0	Mihaela C. Ion
WC0843	Pontastacus leptodactylus	40.8169999998485	26.3169999999409	high	2011	indigenous	native	10.1051/kmae/2018001		Kokko, H., Harlioglu, M. M., Aydin, H., Makkonen, J., Gökmen, G., Aksu, Ö., & Jussila, J. (2018). Observations of crayfish plague infections in commercially important narrow-clawed crayfish populations in Turkey. Knowledge & Management of Aquatic Ecosystems, (419), 10.				0	Mihaela C. Ion
WC0844	Pontastacus leptodactylus	39.1830000000571	33.5499999998713	high	2011	indigenous	native	10.1051/kmae/2018001		Kokko, H., Harlioglu, M. M., Aydin, H., Makkonen, J., Gökmen, G., Aksu, Ö., & Jussila, J. (2018). Observations of crayfish plague infections in commercially important narrow-clawed crayfish populations in Turkey. Knowledge & Management of Aquatic Ecosystems, (419), 10.				0	Mihaela C. Ion
WC0845	Pontastacus leptodactylus	45.4203000000417	15.5845999998486	high	2013	indigenous	native	10.3354/dao02955		Maguire, I., Jelic, M., Klobučar, G., Delpy, M., Delaunay, C. and Grandjean, F. 2016. Prevalence of the pathogen Aphanomyces astaci in freshwater crayfish populations in Croatia. Diseases of Aquatic Organisms. 118(1), 45-53(1), 45-53.				0	Mihaela C. Ion
WC0846	Pontastacus leptodactylus	45.7012999997348	16.1438000002834	high	2013	indigenous	native	10.3354/dao02955		Maguire, I., Jelic, M., Klobučar, G., Delpy, M., Delaunay, C. and Grandjean, F. 2016. Prevalence of the pathogen Aphanomyces astaci in freshwater crayfish populations in Croatia. Diseases of Aquatic Organisms. 118(1), 45-53(1), 45-53.				0	Mihaela C. Ion
WC0847	Pontastacus leptodactylus	45.0791668105487	29.4130559650193	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0848	Pontastacus leptodactylus	44.459999995219	26.029444410422	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0849	Pontastacus leptodactylus	44.8162134575077	21.3838611184506	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0850	Pontastacus leptodactylus	45.7495884239874	21.2348648745601	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0851	Pontastacus leptodactylus	46.1558334462105	21.3994444919249	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0852	Pontastacus leptodactylus	46.907459070477	21.6676502606293	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0853	Pontastacus leptodactylus	45.5170733610621	21.609940986591	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0854	Pontastacus leptodactylus	45.2247223181165	28.9155557985583	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0855	Pontastacus leptodactylus	45.2933333813154	28.3822223636232	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0856	Pontastacus leptodactylus	47.3263888292715	27.5383332833682	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0857	Pontastacus leptodactylus	45.2269445794327	29.1633336261736	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0858	Pontastacus leptodactylus	44.6182178813635	22.6416911741057	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0859	Pontastacus leptodactylus	44.6519458890757	22.5608781175969	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0860	Pontastacus leptodactylus	44.6340351928869	21.961997437988	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
WC0861	Pontastacus leptodactylus	44.6888494822379	22.401782237138	high	2019	indigenous	native	10.1007/s10530-019-02136-0		Pacioglu, O., Theissinger, K., Alexa, A., Samoilă, C., Sîrbu, O. I., Schrimpf, A., ... & Pârvulescu, L. (2020). Multifaceted implications of the competition between native and invasive crayfish: a glimmer of hope for the native’s long-term survival. Biological Invasions, 22(2), 827-842.				0	Mihaela C. Ion
