occurrenceID	scientificName	decimalLatitude	decimalLongitude	accuracy	year	establishmentMeans	occurrenceOrigin	bibliographicCitation	associatedReferences	sourceCitation	associatedSequences	claimExtinction	occurrenceRemarks	confidentialityLevel	contributor
WG9181	Pontastacus leptodactylus	62.0653333333333	34.1640555555556	high	2012	non-indigenous	introduced	10.3391/bir.2021.10.4.14		Berezina, N. A., Terentiev, P. M., Sharov, A. N., & Maximov, A. A. (2021). New records and disappearance from old sites of narrow-clawed crayfish Pontastacus leptodactylus in northwestern Russia. BioInvasions Record, 10(4).				0	Olga N. Petko
WG9182	Pontastacus leptodactylus	62.0744722222222	34.0759722222222	high	2012	non-indigenous	introduced	10.3391/bir.2021.10.4.14		Berezina, N. A., Terentiev, P. M., Sharov, A. N., & Maximov, A. A. (2021). New records and disappearance from old sites of narrow-clawed crayfish Pontastacus leptodactylus in northwestern Russia. BioInvasions Record, 10(4).				0	Olga N. Petko
WG9183	Pontastacus leptodactylus	62.6105833333333	34.0786666666667	high	2012	non-indigenous	introduced	10.3391/bir.2021.10.4.14		Berezina, N. A., Terentiev, P. M., Sharov, A. N., & Maximov, A. A. (2021). New records and disappearance from old sites of narrow-clawed crayfish Pontastacus leptodactylus in northwestern Russia. BioInvasions Record, 10(4).				0	Olga N. Petko
WG9184	Pontastacus leptodactylus	62.81075	33.1565277777778	high	2012	non-indigenous	introduced	10.3391/bir.2021.10.4.14		Berezina, N. A., Terentiev, P. M., Sharov, A. N., & Maximov, A. A. (2021). New records and disappearance from old sites of narrow-clawed crayfish Pontastacus leptodactylus in northwestern Russia. BioInvasions Record, 10(4).			year 2012 for this paper is an estimation, no exact year was given for many locations. the data was collected from 2009 to 2020	0	Olga N. Petko
WG9185	Pontastacus leptodactylus	63.3063611111111	42.3365555555556	high	2010	non-indigenous	introduced	10.3391/bir.2021.10.4.14		Berezina, N. A., Terentiev, P. M., Sharov, A. N., & Maximov, A. A. (2021). New records and disappearance from old sites of narrow-clawed crayfish Pontastacus leptodactylus in northwestern Russia. BioInvasions Record, 10(4).				0	Olga N. Petko
WG9186	Pontastacus leptodactylus	63.70775	41.7847222222222	high	2010	non-indigenous	introduced	10.3391/bir.2021.10.4.14		Berezina, N. A., Terentiev, P. M., Sharov, A. N., & Maximov, A. A. (2021). New records and disappearance from old sites of narrow-clawed crayfish Pontastacus leptodactylus in northwestern Russia. BioInvasions Record, 10(4).				0	Olga N. Petko
WG9187	Pontastacus leptodactylus	65.0250555555556	35.7179166666667	high	2016	non-indigenous	introduced	10.3391/bir.2021.10.4.14		Berezina, N. A., Terentiev, P. M., Sharov, A. N., & Maximov, A. A. (2021). New records and disappearance from old sites of narrow-clawed crayfish Pontastacus leptodactylus in northwestern Russia. BioInvasions Record, 10(4).				0	Olga N. Petko
WG9188	Pontastacus leptodactylus	65.0957777777778	35.6350833333333	high	2015	non-indigenous	introduced	10.3391/bir.2021.10.4.14		Berezina, N. A., Terentiev, P. M., Sharov, A. N., & Maximov, A. A. (2021). New records and disappearance from old sites of narrow-clawed crayfish Pontastacus leptodactylus in northwestern Russia. BioInvasions Record, 10(4).				0	Olga N. Petko
WG9189	Pontastacus leptodactylus	66.2185	33.8253055555556	low	2020	non-indigenous	introduced	10.3391/bir.2021.10.4.14		Berezina, N. A., Terentiev, P. M., Sharov, A. N., & Maximov, A. A. (2021). New records and disappearance from old sites of narrow-clawed crayfish Pontastacus leptodactylus in northwestern Russia. BioInvasions Record, 10(4).			a problem with matching a toponym from the article, can be the exact lake, can be another one in this area	0	Olga N. Petko
WG9190	Pontastacus leptodactylus	67.5451388888889	33.0739166666667	high	2020	non-indigenous	introduced	10.3391/bir.2021.10.4.14		Berezina, N. A., Terentiev, P. M., Sharov, A. N., & Maximov, A. A. (2021). New records and disappearance from old sites of narrow-clawed crayfish Pontastacus leptodactylus in northwestern Russia. BioInvasions Record, 10(4).				0	Olga N. Petko
WG9191	Pontastacus leptodactylus	68.9915555555555	33.0899444444444	high	2018	non-indigenous	introduced	10.3391/bir.2021.10.4.14		Berezina, N. A., Terentiev, P. M., Sharov, A. N., & Maximov, A. A. (2021). New records and disappearance from old sites of narrow-clawed crayfish Pontastacus leptodactylus in northwestern Russia. BioInvasions Record, 10(4).				0	Olga N. Petko
WI1664	Astacus colchicus	42.3	41.8	low	2016	indigenous	native	10.1111/1749-4877.12493		Blaha, M., Patoka, J., Japoshvili, B., Let, M., Buřič, M., Kouba, A., & Mumladze, L. (2021). Genetic diversity, phylogenetic position and morphometric analysis of Astacus colchicus (Decapoda, Astacidae): a new insight into Eastern European crayfish fauna. Integrative Zoology, 16(3), 368-378.	MT483860, MT483862			0	Olga N. Petko
WI1672	Pontastacus leptodactylus	40.4015854277914	45.2396461961847	high	1996	indigenous	native	10.23859/estr-190513		Гукасян, Э. Х., Мелконян, Г. Ф., Степанян, Л. Г., & Бадалян, Н. С. (2019). Особенности развития популяции длиннопалого рака (Pontastacus leptodactylus Eschscholtz, 1823) в озере Севан в период 1996-2018 гг. Трансформация экосистем, (3), 85-93.				0	Olga N. Petko
WI1673	Pontastacus leptodactylus	40.4060298845981	45.2441093917975	high	2004	indigenous	native		https://www.elibrary.ru/item.asp?id=26472043	Алехнович, А. В., & Гукасян, Э. Х. (2016, August). Сравнительный анализ роста длиннопалого рака белорусского оз. Соминское и армянского оз. Севан. In Доклады Национальной академии наук Беларуси (Vol. 60, No. 3, pp. 105-107).				0	Olga N. Petko
WI1674	Pontastacus leptodactylus	40.6897649694997	47.0876274576461	high	2004	indigenous	native		http://www.irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=2&I21DBN=UJRN&P21DBN=UJRN&IMAGE_FILE_DOWNLOAD=1&Image_file_name=PDF/VKhb_2010_905_11_20.pdf	Гулиева, Ф. Р. (2010). Особенности размножения длиннопалого речного рака (Astacus leptodactylus Esch.) в условиях Мингечаурского и Варваринского водохранилищ, Азербайджан. Вісник Харківського національного університету імені ВН Каразіна. Серія: Біологія, (11), 127-132.				0	Olga N. Petko
WI1675	Pontastacus leptodactylus	40.7891743253964	47.0280287447859	high	2004	indigenous	native		http://www.irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=2&I21DBN=UJRN&P21DBN=UJRN&IMAGE_FILE_DOWNLOAD=1&Image_file_name=PDF/VKhb_2010_905_11_20.pdf	Гулиева, Ф. Р. (2010). Особенности размножения длиннопалого речного рака (Astacus leptodactylus Esch.) в условиях Мингечаурского и Варваринского водохранилищ, Азербайджан. Вісник Харківського національного університету імені ВН Каразіна. Серія: Біологія, (11), 127-132.				0	Olga N. Petko
WI1676	Pontastacus leptodactylus	51.3862798940632	61.8709630030749	high	2020	indigenous	native		https://repo.kspi.kz/handle/123456789/5154	Брагина, Т. М., & Бойко, И. А. (2021). Морфометрические показатели речного рака (Astacus leptodactylus Eschscholtz, 1823) озера Кулыколь Костанайской области.				0	Olga N. Petko
WI1677	Pontastacus leptodactylus	52.5363544281533	25.9311110531482	high	2004	indigenous	native		https://www.elibrary.ru/item.asp?id=26472043	Алехнович, А. В., & Гукасян, Э. Х. (2016, August). Сравнительный анализ роста длиннопалого рака белорусского оз. Соминское и армянского оз. Севан. In Доклады Национальной академии наук Беларуси (Vol. 60, No. 3, pp. 105-107).				0	Olga N. Petko
WI1678	Pontastacus leptodactylus	53.0496002111588	80.8619850893913	high	2007	indigenous	native		https://www.elibrary.ru/item.asp?id=23000465	Лукерин, А. Ю. (2014). Характеристика популяции речного рака в озере Мостовое Алтайского края и среды ее обитания. Фундаментальные исследования, (12-11), 2361-2365.				0	Olga N. Petko
WI1679	Pontastacus leptodactylus	50.934954	81.795173	high	2007	indigenous	native	10.1590/2358-2936e2020016		Popov, I. (2020). The expansion of freshwater crayfish range to the center of Eurasia. Nauplius, 28, e2020016.				0	Olga N. Petko
WI1680	Pontastacus leptodactylus	51.704077	82.696801	high	2007	indigenous	native	10.1590/2358-2936e2020016		Popov, I. (2020). The expansion of freshwater crayfish range to the center of Eurasia. Nauplius, 28, e2020016.				0	Olga N. Petko
